source,image_path,x1,y1,x2,y2,confidence
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000002_F_18_165100_8482178.jpg,123,0,951,1968,0.99564528465271
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000003_F_18_170180_3991613.jpg,27,0,1025,2725,0.9721411466598511
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000003_F_18_170180_7257478.jpg,0,0,1339,2810,0.907155454158783
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000004_F_22_157480_6245967.jpg,1,12,295,728,0.916659951210022
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000005_F_18_170180_12246995.jpg,26,27,1023,2156,0.9920037388801575
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000005_F_18_170180_8618256.jpg,34,0,869,2770,0.9909215569496155
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000007_F_27_157480_6214216.png,9,17,890,1605,0.99643874168396
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000008_F_19_165100_8663615.jpg,59,106,948,1714,0.9894918203353882
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000010_F_31_160020_13870856.jpg,8,36,453,1177,0.996616780757904
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000010_F_31_160020_20094143.jpg,6,30,618,1286,0.9965338706970215
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000013_F_19_170180_8436819.jpg,0,0,997,2713,0.9991452693939209
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000014_F_19_172720_6577090.jpg,29,63,1199,2316,0.9925616383552551
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000014_F_19_172720_8845052.jpg,59,232,1313,3085,0.9906274080276489
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000015_F_20_154940_6265335.jpg,35,0,1441,2238,0.965410053730011
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000016_F_20_154940_5896701.jpg,25,0,574,1623,0.9872562885284424
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000019_F_20_170180_14016005.jpg,26,14,938,1899,0.9943932294845581
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000022_F_20_172720_7801788.jpg,79,0,1281,3398,0.9939140677452087
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000023_F_20_175260_7620352.jpg,75,24,1348,3709,0.990523636341095
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000026_F_20_160020_4195730.jpg,5,0,1630,3681,0.9942881464958191
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000027_F_21_165100_7672334.jpg,10,0,779,2532,0.9762558341026306
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000028_F_20_149860_6214216.jpg,7,0,455,1245,0.9972767233848572
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000029_F_21_152400_6758526.jpg,68,65,745,1482,0.9647946953773499
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000030_F_21_154940_7847149.jpg,1,0,878,1923,0.9445016980171204
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000034_F_21_180340_10750140.jpg,133,0,1046,2509,0.986335277557373
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000035_F_21_165100_11929480.jpg,31,11,1186,2744,0.9945002794265747
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000036_F_21_165100_5987420.jpg,117,0,1169,3011,0.97078537940979
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000037_F_21_170180_6803886.jpg,43,29,335,1100,0.9916607737541199
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000038_F_21_172720_7484274.jpg,24,25,812,2575,0.9794290661811829
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000039_F_21_154940_4535924.jpg,48,31,628,1885,0.9968308806419373
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000039_F_21_154940_7257478.jpg,21,4,697,1053,0.9631062150001526
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000040_F_21_160020_5942060.jpg,121,0,732,1684,0.9811344146728516
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000042_F_21_162560_11339810.jpg,29,6,1043,2438,0.9934443235397339
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000044_F_21_167640_5715264.jpg,54,0,784,2833,0.9848480820655823
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000045_F_21_170180_6758526.jpg,4,4,416,647,0.9227389693260193
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000046_F_21_172720_7574993.jpg,5,10,603,1738,0.9822723865509033
