source,image_path,sex,height,weight,bmi,x1,y1,x2,y2,confidence,image_width,image_height,image_area,bbox_width,bbox_height,bbox_area,bbox_ratio,has_human
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000002_F_18_165100_8482178.jpg,0.0,1.651,84.82178,31.1181,123,0,951,1968,0.99564528465271,964,1968,1897152,828,1968,1629504,0.8589211618257261,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000003_F_18_170180_3991613.jpg,0.0,1.7018,39.91613,13.7826,27,0,1025,2725,0.9721411466598511,1059,2725,2885775,998,2725,2719550,0.9423984891406988,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000003_F_18_170180_7257478.jpg,0.0,1.7018,72.57478,25.0593,0,0,1339,2810,0.907155454158783,1339,2810,3762590,1339,2810,3762590,1.0,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000004_F_22_157480_6245967.jpg,0.0,1.5748,62.45967,25.1854,1,12,295,728,0.916659951210022,402,834,335268,294,716,210504,0.6278678549697555,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000005_F_18_170180_12246995.jpg,0.0,1.7018,122.46995,42.2875,26,27,1023,2156,0.9920037388801575,1026,2714,2784564,997,2129,2122613,0.7622784033694323,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000005_F_18_170180_8618256.jpg,0.0,1.7018,86.18256,29.7579,34,0,869,2770,0.9909215569496155,870,2770,2409900,835,2770,2312950,0.9597701149425287,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000007_F_27_157480_6214216.png,0.0,1.5748,62.14216,25.0574,9,17,890,1605,0.99643874168396,902,1827,1647954,881,1588,1399028,0.8489484536582939,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000008_F_19_165100_8663615.jpg,0.0,1.651,86.63615,31.7837,59,106,948,1714,0.9894918203353882,968,2043,1977624,889,1608,1429512,0.7228431693790124,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000010_F_31_160020_13870856.jpg,0.0,1.6002,138.70856,54.1695,8,36,453,1177,0.996616780757904,454,1177,534358,445,1141,507745,0.9501963103387616,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000010_F_31_160020_20094143.jpg,0.0,1.6002,200.94143,78.4731,6,30,618,1286,0.9965338706970215,626,1286,805036,612,1256,768672,0.9548293492464933,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000013_F_19_170180_8436819.jpg,0.0,1.7018,84.36819,29.1314,0,0,997,2713,0.9991452693939209,998,2713,2707574,997,2713,2704861,0.998997995991984,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000014_F_19_172720_6577090.jpg,0.0,1.7272,65.7709,22.047,29,63,1199,2316,0.9925616383552551,1204,2485,2991940,1170,2253,2636010,0.8810370528820766,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000014_F_19_172720_8845052.jpg,0.0,1.7272,88.45052,29.6493,59,232,1313,3085,0.9906274080276489,1348,3103,4182844,1254,2853,3577662,0.8553180563272261,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000015_F_20_154940_6265335.jpg,0.0,1.5494,62.65335,26.0986,35,0,1441,2238,0.965410053730011,1549,2778,4303122,1406,2238,3146628,0.7312430370321826,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000016_F_20_154940_5896701.jpg,0.0,1.5494,58.96701,24.563,25,0,574,1623,0.9872562885284424,615,1625,999375,549,1623,891027,0.8915842401500939,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000019_F_20_170180_14016005.jpg,0.0,1.7018,140.16005,48.3957,26,14,938,1899,0.9943932294845581,954,2096,1999584,912,1885,1719120,0.8597388256757406,True
2DImage2BMI,/workspace/dataset/2DImage2BMI/Image_train/000022_F_20_172720_7801788.jpg,0.0,1.7272,78.01788,26.1522,79,0,1281,3398,0.9939140677452087,1389,3398,4719822,1202,3398,4084396,0.865370770338373,True
